,date,year,month,day,state,tests,cases,hospitalizations,deaths,month_name
109,2020-02-16,2020,2,16,WA,0,0,0,0,February
110,2020-02-17,2020,2,17,FL,1,0,0,0,February
111,2020-02-17,2020,2,17,MA,0,0,0,0,February
112,2020-02-17,2020,2,17,NE,0,0,0,0,February
113,2020-02-17,2020,2,17,NJ,0,0,0,0,February
114,2020-02-17,2020,2,17,VA,0,0,0,0,February
115,2020-02-17,2020,2,17,WA,0,0,0,0,February
116,2020-02-18,2020,2,18,FL,0,0,0,0,February
117,2020-02-18,2020,2,18,MA,0,0,0,0,February
118,2020-02-18,2020,2,18,NE,0,0,0,0,February
119,2020-02-18,2020,2,18,NJ,0,0,0,0,February
120,2020-02-18,2020,2,18,VA,0,0,0,0,February
121,2020-02-18,2020,2,18,WA,0,0,0,0,February
122,2020-02-19,2020,2,19,FL,0,0,0,0,February
123,2020-02-19,2020,2,19,MA,0,0,0,0,February
124,2020-02-19,2020,2,19,NE,6,0,0,0,February
125,2020-02-19,2020,2,19,NJ,0,0,0,0,February
126,2020-02-19,2020,2,19,VA,0,0,0,0,February
127,2020-02-19,2020,2,19,WA,0,0,0,0,February
128,2020-02-20,2020,2,20,FL,0,0,0,0,February
129,2020-02-20,2020,2,20,MA,1,0,0,0,February
130,2020-02-20,2020,2,20,NE,0,0,0,0,February
131,2020-02-20,2020,2,20,NJ,0,0,0,0,February
132,2020-02-20,2020,2,20,VA,0,0,0,0,February
133,2020-02-20,2020,2,20,WA,0,0,0,0,February
134,2020-02-21,2020,2,21,FL,0,0,0,0,February
135,2020-02-21,2020,2,21,MA,0,0,0,0,February
136,2020-02-21,2020,2,21,NE,1,0,0,0,February
137,2020-02-21,2020,2,21,NJ,0,0,0,0,February
138,2020-02-21,2020,2,21,VA,0,0,0,0,February
139,2020-02-21,2020,2,21,WA,0,0,0,0,February
140,2020-02-22,2020,2,22,FL,1,0,0,0,February
141,2020-02-22,2020,2,22,MA,0,0,0,0,February
142,2020-02-22,2020,2,22,NE,0,0,0,0,February
143,2020-02-22,2020,2,22,NJ,0,0,0,0,February
144,2020-02-22,2020,2,22,VA,0,0,0,0,February
145,2020-02-22,2020,2,22,WA,0,0,0,0,February
146,2020-02-23,2020,2,23,FL,0,0,0,0,February
147,2020-02-23,2020,2,23,MA,0,0,0,0,February
148,2020-02-23,2020,2,23,NE,0,0,0,0,February
149,2020-02-23,2020,2,23,NJ,0,0,0,0,February
150,2020-02-23,2020,2,23,VA,0,0,0,0,February
151,2020-02-23,2020,2,23,WA,0,1,0,0,February
152,2020-02-24,2020,2,24,FL,0,0,0,0,February
153,2020-02-24,2020,2,24,MA,2,0,0,0,February
154,2020-02-24,2020,2,24,NE,0,0,0,0,February
155,2020-02-24,2020,2,24,NJ,0,0,0,0,February
156,2020-02-24,2020,2,24,VA,0,0,0,0,February
157,2020-02-24,2020,2,24,WA,0,1,0,0,February
158,2020-02-25,2020,2,25,FL,1,0,0,0,February
159,2020-02-25,2020,2,25,MA,0,0,0,0,February
160,2020-02-25,2020,2,25,NE,0,0,0,0,February
161,2020-02-25,2020,2,25,NJ,0,0,0,0,February
162,2020-02-25,2020,2,25,VA,0,0,0,0,February
